city_id,name,ascii_name,country_code,lat,lon,population
fb_jp_01,Fukushima,Fukushima,JP,37.7503,140.4676,290000
fb_jp_02,Iwaki,Iwaki,JP,37.0505,140.8877,330000
fb_jp_03,Koriyama,Koriyama,JP,37.4005,140.3597,320000
fb_jp_04,Minamisoma,Minamisoma,JP,37.6422,140.9572,59000
fb_jp_05,Namie,Namie,JP,37.4944,140.9994,21000
fb_jp_06,Futaba,Futaba,JP,37.4492,141.0125,7000
fb_jp_07,Okuma,Okuma,JP,37.4044,140.9839,11000
fb_jp_08,Tomioka,Tomioka,JP,37.3446,141.0072,16000
fb_jp_09,Soma,Soma,JP,37.7967,140.9197,35000
fb_jp_10,Date,Date,JP,37.8192,140.5628,60000
fb_jp_11,Nihonmatsu,Nihonmatsu,JP,37.5849,140.4312,53000
fb_jp_12,Sendai,Sendai,JP,38.2682,140.8694,1090000
fb_jp_13,Hitachi,Hitachi,JP,36.5991,140.6516,170000
fb_jp_14,Mito,Mito,JP,36.3659,140.4712,270000
fb_jp_15,Hitachinaka,Hitachinaka,JP,36.3966,140.5345,155000
fb_jp_16,Tokai,Tokai,JP,36.4728,140.5664,38000
fb_pl_01,Gdańsk,Gdansk,PL,54.3520,18.6466,470000
fb_pl_02,Gdynia,Gdynia,PL,54.5189,18.5305,245000
fb_pl_03,Sopot,Sopot,PL,54.4418,18.5601,35000
fb_pl_04,Wejherowo,Wejherowo,PL,54.6059,18.2356,47000
fb_pl_05,Lębork,Lebork,PL,54.5392,17.7501,35000
fb_pl_06,Łeba,Leba,PL,54.7600,17.5563,3700
fb_pl_07,Puck,Puck,PL,54.7176,18.4077,11000
fb_pl_08,Władysławowo,Wladyslawowo,PL,54.7909,18.4017,10000
fb_pl_09,Słupsk,Slupsk,PL,54.4641,17.0285,90000
fb_pl_10,Reda,Reda,PL,54.6053,18.3474,26000
fb_pl_11,Rumia,Rumia,PL,54.5708,18.3878,49000
fb_pl_12,Kartuzy,Kartuzy,PL,54.3342,18.1972,14000
fb_pl_13,Choczewo,Choczewo,PL,54.7453,17.8906,2000
fb_pl_14,Hel,Hel,PL,54.6081,18.8013,3300
